# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2674 2645
p 2 115 805 0 6799 2254
p 2 698 219 3 3861 2809
p 2 740 180 0 3913 2993
p 2 709 211 0 4087 2905
p 2 534 383 3 4700 2719
p 2 599 321 0 4831 2880
p 2 437 483 0 5401 2711
p 2 369 551 0 5700 2616
p 2 300 620 0 6179 2621
p 2 235 685 0 6609 2593
p 2 240 680 0 6895 2620
p 2 186 734 0 7212 2574
p 2 169 751 0 7724 2655
p 2 194 726 0 8264 2746
p 2 149 771 0 8829 2785
p 2 95 825 0 9330 2778
p 2 129 791 0 9556 2829
p 2 68 852 0 9815 2765
p 2 59 861 0 9913 2742
p 2 116 804 0 10411 2826
p 2 29 891 0 9337 2576
p 2 24 896 0 9589 2571
p 2 16 904 0 9104 2543
p 2 0 920 0 6158 1824
p 2 0 919 1 5846 1837
p 2 6 902 12 4771 1734
p 2 0 906 14 2676 1238
p 2 0 878 42 2310 1150
p 2 19 885 16 6175 1745
p 2 0 866 54 2258 1118
p 2 0 855 65 2282 1133
p 2 57 824 39 5991 1675
p 2 0 875 45 2121 1147
p 2 0 875 45 2293 1117
p 2 30 853 37 5977 1729
p 2 0 887 33 2272 1135
p 2 0 840 80 1990 1104
p 2 153 754 13 6783 2062
p 2 0 886 34 2131 1155
p 2 0 856 64 2272 1112
p 2 146 746 28 6877 2033
p 2 0 882 38 2299 1164
p 2 0 878 42 2345 1184
i 2 920 0 0 8363 2956
p 2 0 887 33 2472 1184
p 2 0 851 69 2513 1110
p 2 421 491 8 11432 2968
p 2 0 867 53 2775 1198
p 2 0 884 36 3378 1246
p 2 352 566 2 13146 3152
p 2 0 898 22 3179 1264
p 2 0 878 42 3300 1211
p 2 161 758 1 12579 2739
p 2 0 903 17 3258 1265
p 2 0 882 38 3384 1241
p 2 27 893 0 9432 2217
p 2 0 891 29 3425 1341
p 2 0 877 43 3554 1324
p 2 14 906 0 10191 2261
p 2 0 896 24 3554 1313
p 2 0 882 38 3679 1307
p 2 42 874 4 9378 2239
p 2 0 899 21 3618 1314
p 2 0 873 47 3850 1295
p 2 26 893 1 9000 2081
p 2 0 897 23 3586 1319
p 2 0 891 29 3695 1316
p 2 24 896 0 8591 2099
p 2 0 900 20 3603 1373
p 2 0 893 27 3736 1304
p 2 15 900 5 8568 2074
p 2 0 896 24 3440 1293
p 2 0 894 26 3851 1359
p 2 25 893 2 7574 1925
p 2 0 899 21 3716 1351
p 2 0 882 38 3694 1313
p 2 27 891 2 7282 1893
p 2 0 896 24 3592 1318
p 2 0 879 41 3735 1295
p 2 55 861 4 9117 2202
