# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2646 2644
p 2 918 2 0 3301 3185
p 2 849 71 0 3801 3204
p 2 823 97 0 4412 3183
p 2 693 227 0 5440 3104
p 2 654 266 0 6842 3077
p 2 636 284 0 8501 3165
p 2 670 250 0 9845 3249
p 2 653 267 0 11317 3247
p 2 620 300 0 12985 3260
p 2 599 321 0 14995 3302
p 2 562 358 0 16983 3333
p 2 512 408 0 18332 3282
p 2 428 492 0 18844 3222
p 2 387 533 0 20068 3160
p 2 336 584 0 21173 3168
p 2 231 689 0 18767 2851
p 2 189 731 0 19779 2824
p 2 41 879 0 8250 1732
p 2 26 894 0 8747 1802
p 2 0 730 190 1562 856
p 2 2 708 210 2299 890
p 2 0 486 434 833 604
p 2 1 493 426 2676 664
p 2 3 505 412 3643 718
p 2 3 407 510 3976 636
p 2 1 376 543 3569 580
p 2 1 375 544 4261 591
p 2 1 322 597 4197 544
p 2 0 285 635 3808 500
p 2 2 230 688 3680 452
p 2 0 223 697 3780 459
p 2 2 228 690 3960 532
p 2 0 274 646 3765 528
p 2 11 282 627 4359 630
p 2 4 238 678 3948 539
p 2 15 298 607 4393 698
p 2 0 278 642 3165 494
p 2 37 276 607 4222 766
p 2 0 354 566 3231 593
p 2 29 380 511 4921 888
p 2 1 372 547 3024 625
p 2 31 404 485 4789 933
p 2 0 426 494 3406 684
p 2 9 429 482 4372 796
p 2 0 384 536 3322 636
p 2 7 417 496 4577 768
p 2 1 390 529 3698 647
p 2 9 415 496 4660 761
p 2 0 413 507 3620 643
p 2 21 422 477 5080 830
p 2 0 335 585 3451 561
p 2 4 354 562 4378 645
p 2 0 320 600 3525 545
p 2 4 274 642 3628 516
p 2 4 238 678 4030 531
p 2 0 228 692 3238 447
p 2 7 255 658 4177 563
p 2 5 286 629 3782 542
p 2 4 306 610 4676 609
p 2 1 289 630 3518 517
i 2 920 0 0 20862 3595
p 2 0 365 555 579 492
p 2 0 399 521 602 517
p 2 0 140 780 345 300
p 2 0 163 757 356 314
p 2 0 106 814 293 265
p 2 0 160 760 335 303
p 2 0 112 808 297 269
p 2 0 78 842 254 239
p 2 0 63 857 245 227
p 2 0 46 874 231 214
p 2 0 90 830 272 245
p 2 0 61 859 252 227
p 2 0 47 873 238 219
p 2 0 29 891 211 201
p 2 0 49 871 238 220
p 2 0 48 872 249 218
p 2 0 50 870 241 218
p 2 0 40 880 240 211
p 2 0 67 853 255 232
p 2 0 50 870 251 220
p 2 0 63 857 260 231
p 2 0 29 891 216 201
p 2 0 62 858 251 227
p 2 0 58 862 246 223
p 2 0 47 873 243 217
p 2 0 32 888 218 204
p 2 0 53 867 254 225
p 2 0 44 876 234 212
p 2 0 44 876 238 213
p 2 0 84 836 269 244
p 2 0 36 884 222 206
p 2 0 29 891 219 201
p 2 0 49 871 242 217
p 2 0 32 888 219 205
p 2 0 40 880 229 211
p 2 0 30 890 217 200
p 2 0 22 898 207 194
p 2 0 24 896 209 197
p 2 0 20 900 207 194
p 2 0 12 908 191 186
p 2 0 35 885 222 206
