# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2646 2644
p 2 155 750 15 3872 1396
p 2 94 628 198 2922 1312
p 2 103 791 26 4049 1754
p 2 83 812 25 4883 1839
p 2 54 857 9 5052 1915
p 2 78 838 4 6798 1982
p 2 59 857 4 6688 2036
p 2 46 873 1 7643 2006
p 2 40 880 0 7875 2031
p 2 36 882 2 8477 2002
p 2 45 875 0 9546 2150
p 2 37 883 0 10195 2108
p 2 44 876 0 10904 2146
p 2 48 872 0 11869 2156
p 2 36 884 0 12282 2160
p 2 20 900 0 11693 2005
p 2 14 906 0 11173 1939
p 2 12 908 0 11530 1910
p 2 9 910 1 11444 1900
p 2 9 911 0 12138 1885
p 2 1 918 1 8699 1677
p 2 1 915 4 8853 1601
p 2 0 919 1 6401 1478
p 2 0 907 13 5082 1306
p 2 0 917 3 5337 1309
p 2 0 725 195 2590 938
p 2 0 824 96 2710 1039
p 2 0 610 310 2420 804
p 2 0 746 174 2476 916
p 2 0 608 312 2483 792
p 2 0 689 231 2580 861
p 2 0 611 309 2424 784
p 2 0 667 253 2580 856
p 2 0 566 354 2344 748
p 2 0 639 281 2486 799
p 2 0 557 363 2456 736
p 2 0 626 294 2384 795
p 2 0 582 338 2400 762
p 2 0 617 303 2486 800
p 2 0 566 354 2363 739
p 2 0 647 273 2612 832
p 2 0 594 326 2580 768
p 2 0 601 319 2396 765
p 2 0 575 345 2418 763
p 2 0 579 341 2394 749
p 2 0 528 392 2274 704
p 2 0 579 341 2398 756
p 2 0 575 345 2496 749
p 2 0 592 328 2364 758
p 2 0 559 361 2415 741
p 2 0 597 323 2442 755
p 2 0 506 414 2247 680
p 2 0 574 346 2437 745
p 2 0 580 340 2407 750
p 2 0 549 371 2169 717
p 2 0 542 378 2397 718
p 2 0 604 316 2486 780
p 2 0 573 347 2393 739
p 2 0 593 327 2618 775
p 2 0 591 329 2525 766
p 2 0 528 392 2387 710
p 2 0 546 374 2437 728
p 2 0 556 364 2543 742
p 2 0 527 393 2344 697
p 2 0 586 334 2546 765
p 2 0 567 353 2508 730
p 2 0 537 383 2289 711
p 2 0 575 345 2535 765
p 2 0 594 326 2586 761
p 2 0 571 349 2388 739
p 2 0 556 364 2496 730
p 2 0 587 333 2600 760
p 2 0 552 368 2437 732
p 2 0 607 313 2454 780
p 2 0 608 312 2495 781
p 2 0 571 349 2383 737
p 2 0 593 327 2491 766
p 2 0 566 354 2490 743
p 2 0 573 347 2353 750
p 2 0 556 364 2407 739
p 2 0 569 351 2555 751
p 2 0 532 388 2323 701
p 2 0 606 314 2434 771
p 2 0 534 386 2359 704
p 2 0 518 402 2282 698
p 2 0 591 329 2436 765
p 2 0 588 332 2538 759
p 2 0 537 383 2358 709
p 2 0 596 324 2522 763
p 2 0 575 345 2532 750
p 2 0 551 369 2414 731
p 2 0 523 397 2466 710
p 2 0 630 290 2500 791
p 2 0 536 384 2322 711
p 2 0 577 343 2387 747
p 2 0 532 388 2340 709
p 2 0 575 345 2384 753
p 2 0 593 327 2525 771
p 2 0 591 329 2541 754
p 2 0 565 355 2421 733
p 2 0 562 358 2502 740
p 2 0 572 348 2454 748
p 2 0 582 338 2355 757
p 2 0 562 358 2430 739
p 2 0 604 316 2510 778
p 2 0 519 401 2184 683
p 2 0 586 334 2517 769
p 2 0 554 366 2491 731
p 2 0 566 354 2380 736
p 2 0 583 337 2474 761
p 2 0 566 354 2405 738
p 2 0 585 335 2327 739
p 2 0 580 340 2412 763
p 2 0 585 335 2413 749
p 2 0 541 379 2411 720
p 2 0 580 340 2409 757
p 2 0 538 382 2446 715
p 2 0 547 373 2327 716
p 2 0 548 372 2536 733
p 2 0 612 308 2593 776
p 2 0 557 363 2458 727
p 2 0 557 363 2436 741
p 2 0 571 349 2376 733
p 2 0 582 338 2315 754
p 2 0 542 378 2508 727
p 2 0 519 401 2414 695
p 2 0 535 385 2428 718
p 2 0 559 361 2462 737
p 2 0 546 374 2388 710
p 2 0 515 405 2347 692
p 2 0 556 364 2451 741
p 2 0 579 341 2531 753
p 2 0 575 345 2337 739
p 2 0 538 382 2359 710
p 2 0 560 360 2423 730
p 2 0 501 419 2266 672
p 2 0 565 355 2402 751
p 2 0 566 354 2515 749
p 2 0 558 362 2277 720
p 2 0 549 371 2352 723
p 2 0 553 367 2437 727
p 2 0 534 386 2272 708
p 2 0 573 347 2374 748
p 2 0 562 358 2439 734
p 2 0 581 339 2401 749
p 2 0 567 353 2401 738
p 2 0 576 344 2427 738
p 2 0 580 340 2508 755
p 2 0 590 330 2534 763
p 2 0 543 377 2401 729
p 2 0 544 376 2380 713
p 2 0 526 394 2249 693
p 2 0 576 344 2372 742
p 2 0 535 385 2353 700
p 2 0 571 349 2421 741
p 2 0 544 376 2387 717
p 2 0 596 324 2446 754
p 2 0 524 396 2279 689
p 2 0 555 365 2411 722
p 2 0 528 392 2360 702
p 2 0 550 370 2474 730
p 2 0 557 363 2344 723
p 2 0 547 373 2306 711
p 2 0 554 366 2335 721
p 2 0 577 343 2417 738
p 2 0 511 409 2270 682
p 2 0 577 343 2405 743
p 2 0 550 370 2381 714
p 2 0 579 341 2329 743
p 2 0 539 381 2315 711
p 2 0 577 343 2347 741
p 2 0 513 407 2230 681
p 2 0 548 372 2438 727
p 2 0 541 379 2390 705
p 2 0 538 382 2384 715
p 2 0 563 357 2376 727
p 2 0 572 348 2473 745
p 2 0 523 397 2357 695
p 2 0 535 385 2413 711
p 2 0 539 381 2440 705
p 2 0 537 383 2326 709
p 2 0 532 388 2295 698
p 2 0 552 368 2462 720
p 2 0 549 371 2407 727
p 2 0 550 370 2458 724
p 2 0 567 353 2409 731
p 2 0 544 376 2394 708
p 2 0 559 361 2485 738
p 2 0 513 407 2398 694
p 2 0 521 399 2218 684
p 2 0 516 404 2345 691
p 2 0 558 362 2447 720
p 2 0 553 367 2308 720
p 2 0 546 374 2387 717
p 2 0 543 377 2375 711
p 2 0 524 396 2268 696
p 2 0 533 387 2272 696
p 2 0 527 393 2338 690
p 2 0 529 391 2232 707
p 2 0 543 377 2320 719
p 2 0 563 357 2336 744
p 2 0 514 406 2307 693
p 2 0 568 352 2405 733
p 2 0 520 400 2429 703
p 2 0 593 327 2318 748
p 2 0 502 418 2372 687
p 2 0 580 340 2516 747
p 2 0 500 420 2314 678
p 2 0 538 382 2407 715
p 2 0 534 386 2371 708
p 2 0 527 393 2220 697
p 2 0 546 374 2358 725
p 2 0 546 374 2339 718
p 2 0 511 409 2155 662
p 2 0 560 360 2532 736
p 2 0 530 390 2427 703
p 2 0 577 343 2345 738
p 2 0 567 353 2417 734
p 2 0 573 347 2402 741
p 2 0 493 427 2226 658
p 2 0 554 366 2440 727
p 2 0 550 370 2396 720
p 2 0 568 352 2310 730
p 2 0 545 375 2354 724
p 2 0 560 360 2361 719
p 2 0 527 393 2184 684
p 2 0 544 376 2407 720
p 2 0 558 362 2322 723
p 2 0 560 360 2248 730
p 2 0 547 373 2358 721
p 2 0 580 340 2359 733
p 2 0 515 405 2279 687
p 2 0 577 343 2509 754
p 2 0 508 412 2425 680
p 2 0 522 398 2393 703
p 2 0 555 365 2437 726
p 2 0 525 395 2443 707
p 2 0 517 403 2296 673
p 2 0 567 353 2457 745
p 2 0 535 385 2372 700
p 2 0 528 392 2278 700
p 2 0 526 394 2386 700
p 2 0 530 390 2363 702
p 2 0 538 382 2291 701
p 2 0 564 356 2445 730
p 2 0 525 395 2344 691
p 2 0 512 408 2246 678
p 2 0 575 345 2415 741
p 2 0 547 373 2339 716
p 2 0 522 398 2166 690
p 2 0 554 366 2390 721
p 2 0 558 362 2386 728
p 2 0 548 372 2282 703
p 2 0 485 435 2176 652
p 2 0 807 113 7239 1231
p 2 0 585 335 1981 765
p 2 0 576 344 1868 741
p 2 0 774 146 7381 1194
p 2 0 642 278 2120 815
p 2 0 574 346 1992 735
p 2 3 800 117 9851 1399
p 2 0 642 278 2180 816
p 2 0 620 300 2099 786
p 2 9 791 120 10581 1452
p 2 0 681 239 2315 864
p 2 0 583 337 2125 768
p 2 0 794 126 8077 1209
p 2 0 619 301 2058 804
p 2 0 622 298 2109 792
p 2 0 806 114 8131 1235
p 2 0 692 228 2169 851
p 2 9 769 142 9460 1437
p 2 0 705 215 2264 899
p 2 0 719 201 6757 1168
p 2 0 655 265 2215 841
p 2 0 620 300 2175 790
p 2 1 729 190 6734 1186
p 2 0 616 304 2128 787
p 2 0 606 314 2182 778
p 2 1 747 172 7173 1251
p 2 0 608 312 2197 794
p 2 0 594 326 2217 765
p 2 0 724 196 4812 993
p 2 0 579 341 2132 757
p 2 0 570 350 2072 727
p 2 0 712 208 4418 960
p 2 0 581 339 2076 745
p 2 0 569 351 2143 736
p 2 0 713 207 4593 983
p 2 0 535 385 2090 707
p 2 0 522 398 2171 703
p 2 0 689 231 4327 949
p 2 0 543 377 2172 720
p 2 0 532 388 2080 701
p 2 0 531 389 2221 691
p 2 0 484 436 2114 650
p 2 0 516 404 2162 670
p 2 0 499 421 2200 665
p 2 0 506 414 2272 666
i 2 920 0 0 61860 4483
p 2 0 177 743 488 345
p 2 0 106 814 352 275
p 2 0 91 829 347 261
p 2 0 107 813 393 272
p 2 0 92 828 349 257
p 2 0 98 822 372 266
p 2 0 102 818 396 268
p 2 0 97 823 368 263
p 2 0 78 842 327 242
p 2 0 94 826 369 257
p 2 0 93 827 347 257
p 2 0 80 840 350 248
p 2 0 92 828 367 259
p 2 0 76 844 328 241
p 2 0 74 846 324 243
