# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2660 2645
p 2 0 90 830 249 239
p 2 0 814 106 710 710
p 2 0 62 858 217 217
p 2 0 77 843 227 227
p 2 0 2 918 178 178
p 2 0 39 881 201 201
p 2 0 3 917 180 180
p 2 0 1 919 178 178
p 2 288 632 0 4785 2068
p 2 202 693 25 5360 2033
p 2 218 700 2 6470 2477
p 2 199 721 0 7640 2499
p 2 120 800 0 8407 2462
p 2 183 737 0 10612 2695
p 2 129 791 0 11628 2682
p 2 132 788 0 13619 2754
p 2 99 821 0 14751 2696
p 2 79 841 0 16342 2650
p 2 98 822 0 18973 2766
p 2 99 821 0 20809 2765
p 2 105 815 0 22508 2790
p 2 131 789 0 25745 2884
p 2 111 809 0 27314 2836
p 2 102 818 0 26340 2692
p 2 93 827 0 26157 2600
p 2 92 828 0 27120 2562
p 2 80 840 0 26976 2505
p 2 85 835 0 27202 2416
p 2 44 876 0 20535 2049
p 2 43 877 0 20475 1975
p 2 16 904 0 17384 1769
p 2 0 919 1 12441 1446
p 2 0 919 1 12512 1502
p 2 0 908 12 11212 1421
p 2 0 918 2 12920 1449
p 2 3 916 1 12460 1439
p 2 2 918 0 12063 1433
p 2 1 916 3 11059 1392
p 2 0 920 0 11640 1392
p 2 9 910 1 12457 1444
p 2 15 905 0 12589 1503
p 2 1 919 0 11659 1408
p 2 0 919 1 12421 1365
p 2 8 911 1 12915 1449
p 2 22 898 0 11766 1477
p 2 3 913 4 10920 1324
p 2 2 917 1 12226 1343
p 2 1 918 1 11019 1304
p 2 1 919 0 11265 1305
p 2 0 920 0 9473 1289
p 2 1 919 0 8933 1340
p 2 4 911 5 7441 1302
p 2 1 915 4 9364 1340
p 2 1 917 2 9327 1340
p 2 0 916 4 8409 1244
p 2 0 917 3 6801 1265
p 2 0 920 0 9071 1338
p 2 3 907 10 8410 1291
p 2 9 901 10 7440 1252
p 2 0 915 5 8595 1270
p 2 11 903 6 7497 1231
p 2 3 905 12 8487 1267
p 2 18 896 6 8421 1361
p 2 9 893 18 6564 1232
p 2 8 906 6 7798 1237
p 2 0 899 21 7316 1193
p 2 0 905 15 7598 1178
p 2 0 880 40 6547 1133
p 2 0 787 133 6465 1047
p 2 0 539 381 3529 709
p 2 0 429 491 3599 619
p 2 0 394 526 3571 592
p 2 0 348 572 3319 548
p 2 0 311 609 3461 506
p 2 2 328 590 3746 549
p 2 0 298 622 3300 490
p 2 0 256 664 3459 465
p 2 0 297 623 3132 492
p 2 0 286 634 3344 486
p 2 0 297 623 3407 488
p 2 0 295 625 3298 499
p 2 0 252 668 3497 466
p 2 0 241 679 3061 447
p 2 0 234 686 3588 454
p 2 0 217 703 3295 433
p 2 0 198 722 3140 407
p 2 0 195 725 3677 429
p 2 0 198 722 3109 410
p 2 0 208 712 3442 420
p 2 1 246 673 3391 470
p 2 0 199 721 3347 420
p 2 0 181 739 3088 392
p 2 2 189 729 3853 434
p 2 0 182 738 3225 401
p 2 0 197 723 3249 417
p 2 0 187 733 3614 412
p 2 0 175 745 3196 395
p 2 0 187 733 3268 402
p 2 0 200 720 3892 432
p 2 0 173 747 3036 384
p 2 0 155 765 3308 379
p 2 0 169 751 3437 396
p 2 0 176 744 3306 400
p 2 0 174 746 3503 395
p 2 0 180 740 3524 411
p 2 0 182 738 3192 393
p 2 0 164 756 3476 390
p 2 0 174 746 3435 398
p 2 0 169 751 3461 396
p 2 0 152 768 3295 375
p 2 1 186 733 3464 426
p 2 0 156 764 3417 382
p 2 0 173 747 3197 394
p 2 0 154 766 3458 378
i 2 920 0 0 30183 4196
p 2 6 474 440 2437 757
p 2 0 355 565 589 488
p 2 0 209 711 429 361
p 2 4 246 670 2064 505
p 2 0 104 816 353 274
p 2 0 132 788 342 291
p 2 6 157 757 1869 415
p 2 0 108 812 353 274
p 2 0 86 834 295 252
p 2 10 119 791 2405 423
p 2 0 143 777 398 306
p 2 0 96 824 308 262
p 2 8 127 785 2450 423
p 2 0 85 835 338 256
p 2 0 110 810 328 275
p 2 4 118 798 2273 409
p 2 0 89 831 325 256
p 2 0 75 845 295 246
p 2 6 125 789 2225 402
p 2 0 85 835 320 254
p 2 0 38 882 238 212
p 2 12 100 808 2426 415
p 2 0 78 842 303 244
p 2 0 39 881 232 210
p 2 7 110 803 2361 401
p 2 0 77 843 341 250
p 2 0 34 886 238 210
p 2 4 101 815 2312 386
p 2 0 67 853 305 239
p 2 0 55 865 257 227
p 2 6 100 814 2189 378
p 2 0 60 860 295 231
p 2 0 33 887 236 209
i 2 920 0 0 20547 3588
p 2 11 481 428 2366 742
p 2 0 338 582 543 476
p 2 32 308 580 3763 731
p 2 22 337 561 4044 720
p 2 0 246 674 568 402
p 2 27 306 587 3770 698
p 2 54 258 608 3344 766
p 2 0 285 635 546 437
p 2 5 251 664 2203 557
p 2 19 279 622 3497 668
p 2 0 211 709 479 376
p 2 105 385 430 6733 1158
p 2 89 365 466 8697 1246
p 2 0 333 587 715 488
p 2 66 464 390 9364 1335
p 2 31 490 399 8748 1178
p 2 0 398 522 881 572
p 2 17 477 426 8346 1147
p 2 26 485 409 7373 1154
p 2 0 336 584 794 549
p 2 27 494 399 7281 1068
p 2 14 510 396 5924 976
p 2 0 345 575 724 505
p 2 6 442 472 6327 876
p 2 147 633 140 15184 2061
p 2 0 520 400 1149 732
p 2 96 676 148 13823 1906
p 2 106 655 159 15509 1983
p 2 0 550 370 1215 760
p 2 30 480 410 6812 1059
p 2 74 441 405 4680 1059
p 2 0 368 552 681 512
p 2 59 332 529 1976 757
i 2 920 0 0 23095 3684
p 2 0 430 490 645 556
p 2 0 379 541 534 494
p 2 0 212 708 386 356
p 2 0 643 277 11653 1197
p 2 0 457 463 1120 623
p 2 0 314 606 631 460
p 2 3 629 288 11739 1258
p 2 0 435 485 1166 618
p 2 0 333 587 722 487
p 2 0 596 324 8620 974
p 2 0 451 469 1103 600
p 2 0 286 634 663 435
p 2 0 569 351 8163 919
p 2 0 412 508 1060 576
p 2 0 341 579 880 499
p 2 0 322 598 764 466
p 2 0 187 733 462 339
p 2 0 174 746 401 326
p 2 0 135 785 402 295
p 2 0 128 792 376 286
p 2 0 89 831 323 259
p 2 0 63 857 257 230
p 2 0 56 864 250 223
p 2 0 61 859 240 224
p 2 0 32 888 222 204
p 2 0 37 883 226 208
p 2 0 31 889 217 204
i 2 920 0 0 47249 4253
p 2 0 334 586 1295 492
p 2 0 324 596 1783 473
p 2 1 211 708 2059 382
p 2 0 199 721 1691 362
p 2 0 133 787 1573 308
p 2 0 181 739 2055 359
p 2 0 146 774 1563 321
p 2 0 132 788 1621 307
p 2 0 180 740 2070 367
p 2 0 156 764 1528 329
p 2 0 139 781 1653 324
p 2 0 140 780 2102 328
p 2 0 157 763 1602 335
p 2 0 118 802 1580 301
