# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2681 2645
p 2 186 726 8 4195 1935
p 2 274 634 12 4081 2072
p 2 265 647 8 5389 2363
p 2 244 673 3 6367 2308
p 2 190 730 0 6977 2363
p 2 235 685 0 8761 2573
p 2 189 731 0 9679 2618
p 2 182 738 0 11011 2578
p 2 164 756 0 12199 2695
p 2 159 761 0 13381 2715
p 2 175 745 0 14868 2869
p 2 149 771 0 17077 2821
p 2 164 756 0 18565 2905
p 2 157 763 0 21554 2937
p 2 162 758 0 22359 2969
p 2 131 789 0 23224 2835
p 2 105 815 0 23091 2691
p 2 123 797 0 23875 2680
p 2 96 824 0 23474 2541
p 2 95 825 0 25197 2539
p 2 63 857 0 19005 2174
p 2 37 883 0 20593 2109
p 2 50 870 0 15562 1919
p 2 2 918 0 12739 1686
p 2 2 918 0 11543 1610
p 2 0 920 0 9412 1490
p 2 0 920 0 9170 1471
p 2 26 894 0 9404 1504
p 2 2 918 0 9833 1468
p 2 20 900 0 9195 1495
p 2 3 917 0 10262 1444
p 2 9 911 0 9346 1451
p 2 1 919 0 11241 1440
p 2 2 918 0 11297 1528
p 2 5 915 0 9520 1472
p 2 0 920 0 11228 1480
p 2 1 919 0 11199 1456
p 2 0 920 0 10995 1441
p 2 3 917 0 11961 1466
p 2 1 919 0 10968 1471
p 2 2 918 0 11835 1494
p 2 2 918 0 11539 1495
p 2 4 916 0 11763 1492
p 2 2 918 0 11827 1492
p 2 1 919 0 11504 1507
p 2 0 920 0 11591 1471
p 2 2 918 0 11315 1505
p 2 1 919 0 11229 1483
p 2 2 917 1 12306 1534
p 2 3 917 0 11394 1574
p 2 1 919 0 11351 1536
p 2 4 916 0 10664 1539
p 2 2 918 0 10643 1523
p 2 0 920 0 10739 1484
p 2 0 920 0 10686 1508
p 2 1 919 0 10190 1481
p 2 0 919 1 10374 1496
p 2 2 918 0 9921 1473
p 2 0 919 1 10094 1475
p 2 1 919 0 10220 1489
p 2 0 920 0 9898 1463
p 2 1 919 0 9696 1456
p 2 2 918 0 9751 1448
p 2 0 920 0 9473 1412
p 2 0 920 0 9488 1444
p 2 0 920 0 9307 1417
p 2 1 919 0 9381 1439
p 2 2 918 0 9117 1371
p 2 2 918 0 8890 1379
p 2 1 919 0 8944 1395
p 2 4 916 0 9263 1377
p 2 14 906 0 8673 1384
p 2 2 918 0 9245 1404
p 2 2 918 0 8123 1331
p 2 4 916 0 8653 1379
p 2 0 920 0 7852 1272
p 2 0 920 0 7818 1309
p 2 0 920 0 7139 1258
p 2 1 919 0 7606 1307
p 2 0 920 0 7486 1301
p 2 0 920 0 8220 1289
p 2 0 920 0 9559 1351
p 2 0 920 0 11398 1375
p 2 0 920 0 11457 1363
p 2 0 920 0 11931 1307
p 2 2 918 0 11742 1328
p 2 0 920 0 11508 1324
p 2 38 882 0 10483 1393
p 2 40 880 0 9755 1365
p 2 0 920 0 10868 1320
p 2 6 914 0 10460 1346
p 2 14 906 0 10077 1365
p 2 0 920 0 8845 1240
p 2 13 907 0 9366 1332
p 2 0 914 6 8007 1190
p 2 7 912 1 8948 1273
p 2 0 920 0 7952 1224
p 2 1 916 3 8374 1249
p 2 0 920 0 7448 1197
p 2 0 917 3 7728 1198
p 2 0 918 2 7352 1228
p 2 32 888 0 6860 1287
p 2 0 920 0 6973 1179
p 2 29 888 3 6795 1263
p 2 0 916 4 6628 1136
p 2 0 913 7 6977 1201
p 2 1 919 0 6823 1182
p 2 1 919 0 7301 1212
p 2 0 919 1 6889 1185
p 2 0 917 3 7164 1171
p 2 0 920 0 6924 1242
p 2 0 919 1 7176 1233
p 2 0 918 2 7209 1232
p 2 1 916 3 6947 1231
p 2 2 915 3 7272 1261
p 2 0 918 2 7457 1251
p 2 1 916 3 7939 1278
p 2 0 919 1 7838 1276
p 2 3 913 4 8119 1303
p 2 0 920 0 7799 1271
i 2 920 0 0 11060 3030
p 2 0 907 13 4133 1338
p 2 0 909 11 3300 1260
p 2 0 910 10 3605 1299
p 2 0 902 18 3068 1252
p 2 0 907 13 3451 1294
p 2 0 901 19 3241 1276
p 2 0 912 8 3542 1287
p 2 0 906 14 3429 1270
p 2 0 913 7 3668 1286
p 2 16 890 14 4118 1389
p 2 0 907 13 3683 1312
p 2 3 899 18 3731 1324
p 2 0 917 3 3650 1288
p 2 3 893 24 3672 1303
p 2 0 905 15 3420 1277
p 2 0 899 21 3840 1280
p 2 0 912 8 3864 1299
p 2 0 891 29 4204 1284
p 2 0 909 11 3969 1284
p 2 0 900 20 4106 1319
p 2 1 910 9 3830 1278
p 2 0 887 33 4093 1288
p 2 0 915 5 3601 1273
p 2 0 891 29 4158 1293
p 2 0 907 13 3739 1272
p 2 0 888 32 3915 1280
p 2 0 911 9 3685 1263
p 2 0 872 48 3776 1239
p 2 0 917 3 3758 1259
p 2 0 887 33 4057 1249
p 2 0 906 14 3793 1248
p 2 0 882 38 4396 1251
p 2 0 911 9 4046 1276
p 2 0 881 39 4034 1259
p 2 0 913 7 3918 1261
p 2 0 879 41 3860 1235
p 2 0 906 14 4034 1263
p 2 0 868 52 3898 1234
p 2 0 911 9 3698 1236
p 2 0 874 46 3923 1232
p 2 0 907 13 4254 1264
p 2 0 873 47 3717 1201
p 2 0 908 12 3591 1223
p 2 0 881 39 3655 1204
p 2 0 915 5 3609 1239
p 2 0 856 64 3219 1150
p 2 0 907 13 3346 1192
p 2 0 856 64 3341 1157
p 2 0 905 15 3306 1180
p 2 0 880 40 3393 1174
p 2 0 903 17 3425 1187
p 2 0 865 55 3224 1133
p 2 0 903 17 3364 1179
p 2 0 885 35 6812 1291
p 2 0 898 22 4009 1240
p 2 0 861 59 6584 1269
p 2 1 896 23 3839 1213
p 2 0 861 59 6569 1287
p 2 0 892 28 3638 1189
p 2 1 851 68 9212 1462
p 2 0 901 19 3693 1214
p 2 1 884 35 7951 1380
p 2 0 902 18 3951 1210
p 2 1 887 32 9064 1401
p 2 0 908 12 4428 1228
p 2 3 890 27 10632 1457
p 2 0 895 25 4296 1257
p 2 0 866 54 8724 1358
p 2 0 913 7 4025 1222
p 2 0 848 72 7805 1303
p 2 0 900 20 3952 1211
p 2 0 874 46 8294 1304
p 2 0 902 18 4057 1215
p 2 0 880 40 3964 1172
p 2 0 907 13 3866 1178
p 2 0 880 40 3859 1141
p 2 0 907 13 3956 1184
p 2 0 872 48 3865 1140
p 2 0 897 23 4087 1169
p 2 0 868 52 4052 1129
p 2 0 903 17 3987 1185
p 2 0 886 34 3877 1165
i 2 920 0 0 28830 3866
p 2 170 741 9 33836 3016
p 2 0 580 340 1638 814
p 2 40 871 9 26452 2321
p 2 0 664 256 1996 883
p 2 22 890 8 27085 2242
p 2 0 639 281 1876 891
p 2 90 818 12 29771 2481
p 2 0 623 297 1920 885
p 2 0 436 484 1303 617
p 2 38 872 10 24759 2201
p 2 0 648 272 1944 913
p 2 0 403 517 983 618
p 2 40 867 13 23466 2206
p 2 0 663 257 1792 883
p 2 0 422 498 946 589
p 2 5 564 351 3062 893
p 2 0 441 479 962 598
p 2 10 311 599 1754 550
p 2 0 298 622 697 448
p 2 0 287 633 662 441
p 2 2 255 663 1522 464
p 2 0 231 689 616 387
p 2 1 209 710 1257 424
p 2 0 148 772 467 315
p 2 0 189 731 501 348
p 2 2 220 698 1435 436
p 2 0 175 745 483 337
p 2 0 130 790 390 293
p 2 1 302 617 2704 626
p 2 0 190 730 548 363
p 2 0 264 656 1885 532
p 2 2 277 641 1642 504
p 2 2 280 638 2877 613
p 2 0 211 709 555 381
p 2 9 288 623 3171 709
p 2 0 221 699 583 404
p 2 3 277 640 2727 623
p 2 16 222 682 1693 499
p 2 1 276 643 2540 617
p 2 0 229 691 567 402
p 2 0 250 670 2495 572
p 2 0 213 707 559 384
p 2 1 226 693 2022 507
p 2 2 214 704 1433 436
p 2 0 154 766 446 317
p 2 0 103 817 330 271
p 2 0 99 821 1060 321
p 2 0 66 854 285 243
p 2 0 77 843 280 244
p 2 20 805 95 19465 1795
p 2 0 560 360 1589 759
p 2 0 316 604 722 472
p 2 8 833 79 19154 1756
p 2 0 587 333 1644 780
p 2 0 371 549 811 533
p 2 9 837 74 19206 1825
p 2 0 575 345 1527 764
p 2 0 372 548 784 523
p 2 20 822 78 20063 1907
p 2 0 611 309 1708 818
p 2 0 371 549 803 524
p 2 0 271 649 572 429
p 2 341 575 4 32166 3390
p 2 0 567 353 1447 828
p 2 87 831 2 29915 2680
p 2 0 675 245 1905 957
p 2 120 793 7 30491 2738
p 2 0 625 295 1707 896
p 2 106 806 8 28826 2547
p 2 0 584 336 1596 787
p 2 46 869 5 25720 2320
p 2 0 666 254 1844 889
p 2 0 588 332 1635 816
p 2 71 829 20 24488 2288
p 2 0 656 264 1862 861
p 2 0 470 450 1080 631
p 2 13 499 408 4403 862
p 2 0 450 470 1045 607
p 2 0 355 565 786 510
p 2 1 256 663 1783 470
p 2 0 236 684 578 396
p 2 0 217 703 519 373
p 2 3 187 730 2024 419
p 2 0 204 716 614 365
