# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2672 2645
p 2 0 919 1 2743 1241
p 2 0 896 24 2615 1146
p 2 0 920 0 5002 1398
p 2 0 920 0 6592 1446
p 2 0 920 0 6343 1601
p 2 0 920 0 9020 1873
p 2 2 918 0 9142 1960
p 2 0 920 0 9636 1757
p 2 0 920 0 10119 1944
p 2 1 919 0 10757 1776
p 2 1 919 0 12334 2083
p 2 0 920 0 13183 1947
p 2 3 917 0 14370 2137
p 2 5 915 0 15733 2051
p 2 5 915 0 15546 2124
p 2 1 919 0 16259 2024
p 2 0 920 0 14995 2057
p 2 0 920 0 15942 1926
p 2 0 920 0 15952 2020
p 2 1 919 0 16572 1903
p 2 0 920 0 13438 1772
p 2 0 920 0 15579 1740
p 2 0 920 0 11806 1609
p 2 0 919 1 12375 1605
p 2 0 920 0 10425 1555
p 2 0 917 3 10181 1537
p 2 0 918 2 10196 1513
p 2 0 919 1 9569 1500
p 2 0 917 3 9428 1474
p 2 0 919 1 9444 1472
p 2 0 917 3 9858 1479
p 2 0 917 3 9100 1461
p 2 0 917 3 9389 1449
p 2 0 918 2 9223 1457
p 2 0 918 2 9580 1450
p 2 0 919 1 9054 1454
p 2 0 919 1 8906 1422
p 2 0 914 6 8939 1446
p 2 0 915 5 9115 1438
p 2 1 918 1 8761 1447
p 2 0 916 4 9026 1432
p 2 0 919 1 8582 1433
p 2 1 918 1 8658 1424
p 2 3 912 5 8900 1448
p 2 1 914 5 8385 1409
p 2 0 913 7 8221 1411
p 2 0 917 3 8441 1408
p 2 0 914 6 8170 1412
p 2 3 914 3 8237 1425
p 2 0 917 3 8366 1406
p 2 6 911 3 8072 1448
p 2 5 909 6 8126 1410
p 2 1 918 1 8284 1398
p 2 1 912 7 7859 1407
p 2 0 919 1 7621 1368
p 2 3 914 3 8057 1395
p 2 3 916 1 7645 1402
p 2 1 917 2 7522 1374
p 2 0 920 0 7425 1379
p 2 0 917 3 7578 1371
p 2 0 920 0 7059 1369
p 2 1 915 4 7138 1381
p 2 11 909 0 7086 1377
p 2 6 909 5 7613 1397
p 2 0 920 0 7036 1367
