# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 33763 3990
p 2 0 357 563 649 518
p 2 0 288 632 474 424
p 2 0 175 745 366 332
p 2 0 151 769 350 305
p 2 0 93 827 289 259
p 2 0 105 815 290 267
p 2 0 82 838 278 252
p 2 0 101 819 285 261
p 2 0 61 859 259 228
p 2 0 53 867 247 225
p 2 0 40 880 221 211
p 2 0 49 871 238 219
p 2 0 57 863 245 224
p 2 0 84 836 271 242
p 2 0 36 884 223 206
p 2 0 42 878 232 213
p 2 0 45 875 228 214
p 2 0 26 894 213 199
p 2 0 38 882 230 208
p 2 0 47 873 241 218
p 2 0 30 890 215 200
p 2 0 32 888 228 205
p 2 0 36 884 223 208
p 2 0 47 873 259 218
p 2 0 44 876 256 216
p 2 0 33 887 224 205
p 2 0 29 891 222 202
p 2 0 43 877 244 213
p 2 0 58 862 249 224
p 2 0 54 866 233 219
p 2 0 38 882 224 207
p 2 0 21 899 205 193
p 2 0 28 892 208 200
p 2 0 32 888 205 198
p 2 0 27 893 209 200
p 2 0 17 903 198 191
p 2 0 27 893 215 198
p 2 0 41 879 225 208
p 2 0 23 897 206 197
p 2 0 23 897 207 195
p 2 28 136 756 5008 563
p 2 0 104 816 399 278
p 2 0 72 848 286 239
p 2 25 144 751 7056 568
p 2 0 108 812 435 282
p 2 0 150 770 4050 381
p 2 0 114 806 480 282
p 2 0 153 767 3289 367
p 2 0 125 795 479 291
p 2 0 171 749 2751 359
p 2 0 104 816 441 268
p 2 0 65 855 313 234
p 2 0 115 805 2341 309
p 2 0 111 809 476 278
p 2 0 78 842 313 238
p 2 0 130 790 2224 316
p 2 0 93 827 529 264
p 2 0 63 857 315 230
p 2 0 56 864 294 224
p 2 0 77 843 350 244
p 2 0 50 870 275 219
p 2 0 34 886 239 204
p 2 0 27 893 232 198
p 2 0 33 887 227 201
p 2 0 27 893 226 200
p 2 0 35 885 253 206
p 2 0 38 882 251 208
p 2 0 30 890 222 202
p 2 0 15 905 204 189
p 2 0 29 891 229 202
p 2 0 23 897 227 197
p 2 0 41 879 257 211
p 2 0 52 868 269 222
p 2 0 79 841 306 245
p 2 0 30 890 220 201
p 2 0 23 897 207 196
p 2 0 18 902 205 192
p 2 0 34 886 242 206
p 2 0 25 895 221 199
p 2 0 17 903 207 191
p 2 0 18 902 207 191
p 2 0 21 899 207 192
p 2 0 16 904 208 190
p 2 0 15 905 203 189
p 2 0 28 892 225 202
p 2 0 9 911 191 185
p 2 0 16 904 206 193
p 2 0 15 905 197 190
p 2 0 10 910 193 185
p 2 0 9 911 193 184
p 2 0 22 898 208 196
p 2 0 15 905 192 188
p 2 0 11 909 190 186
p 2 0 17 903 204 192
p 2 0 11 909 192 187
p 2 0 21 899 205 193
p 2 0 38 882 226 209
p 2 0 8 912 187 183
p 2 0 24 896 204 198
p 2 0 21 899 202 194
p 2 27 154 739 5070 547
p 2 0 93 827 420 264
p 2 0 50 870 294 224
p 2 29 134 757 7000 572
p 2 0 97 823 426 270
p 2 0 139 781 3206 340
p 2 0 104 816 456 271
p 2 0 130 790 3240 341
p 2 0 93 827 439 262
p 2 0 129 791 3286 343
p 2 0 94 826 453 260
p 2 0 73 847 342 239
p 2 0 112 808 2762 311
p 2 0 96 824 576 268
p 2 0 68 852 364 239
p 2 0 41 879 248 211
p 2 0 35 885 267 206
p 2 0 28 892 234 200
p 2 0 22 898 215 194
p 2 0 67 853 361 238
p 2 0 40 880 254 210
p 2 0 74 846 350 243
p 2 0 51 869 280 220
p 2 0 33 887 234 205
p 2 0 59 861 272 222
p 2 0 41 879 230 209
p 2 0 22 898 217 196
p 2 0 21 899 219 195
p 2 0 17 903 210 192
p 2 0 28 892 229 201
p 2 0 20 900 218 195
p 2 0 9 911 192 184
p 2 0 9 911 194 183
p 2 0 17 903 207 189
p 2 0 19 901 210 192
p 2 0 19 901 212 193
p 2 0 21 899 213 195
p 2 0 11 909 201 185
p 2 0 6 914 186 181
p 2 0 18 902 210 192
p 2 0 10 910 190 183
p 2 0 30 890 237 204
p 2 0 25 895 216 197
p 2 0 25 895 219 197
p 2 0 12 908 193 187
p 2 0 14 906 194 188
p 2 0 13 907 198 187
p 2 0 20 900 218 193
p 2 0 22 898 202 195
p 2 0 8 912 187 183
p 2 0 20 900 209 193
p 2 0 12 908 195 186
p 2 0 10 910 193 186
p 2 0 8 912 187 182
p 2 0 12 908 194 186
p 2 0 8 912 187 182
p 2 0 4 916 182 180
p 2 0 9 911 186 184
p 2 0 5 915 184 182
p 2 0 3 917 181 180
p 2 0 6 914 188 181
p 2 0 8 912 190 184
p 2 0 8 912 188 184
i 2 920 0 0 41871 4297
p 2 2 358 560 4837 613
p 2 0 264 656 656 427
p 2 0 157 763 408 318
p 2 1 240 679 5278 503
p 2 0 153 767 550 324
p 2 0 135 785 417 299
p 2 5 212 703 5364 501
p 2 0 133 787 526 303
p 2 0 94 826 361 262
p 2 7 215 698 5961 535
p 2 0 161 759 585 333
p 2 0 143 777 517 310
p 2 0 107 813 569 280
p 2 0 61 859 281 228
p 2 0 115 805 430 283
p 2 0 77 843 463 246
p 2 0 74 846 303 237
p 2 0 79 841 332 245
p 2 0 53 867 374 222
p 2 0 61 859 287 229
p 2 0 88 832 345 256
p 2 0 70 850 491 238
p 2 0 45 875 263 216
p 2 0 88 832 378 256
p 2 0 63 857 471 234
p 2 0 55 865 282 225
p 2 0 37 883 235 207
p 2 0 37 883 399 208
p 2 0 26 894 223 198
p 2 0 47 873 270 218
p 2 0 46 874 430 217
p 2 0 30 890 226 201
p 2 0 40 880 259 212
p 2 0 44 876 425 216
p 2 0 36 884 239 207
p 2 1 44 875 409 223
p 2 0 32 888 236 204
p 2 0 40 880 449 211
p 2 0 30 890 239 202
p 2 0 27 893 222 198
p 2 0 22 898 389 195
p 2 0 29 891 227 203
p 2 0 32 888 229 203
p 2 0 23 897 388 195
p 2 0 39 881 246 209
p 2 0 22 898 215 196
p 2 0 46 874 426 217
p 2 0 44 876 273 213
p 2 0 46 874 262 216
p 2 0 30 890 371 207
p 2 0 22 898 221 195
p 2 0 24 896 419 198
p 2 0 22 898 223 196
p 2 0 19 901 205 190
p 2 1 25 894 373 205
p 2 0 22 898 218 194
p 2 0 27 893 212 197
p 2 0 25 895 329 197
p 2 0 16 904 207 190
p 2 0 19 901 209 193
p 2 0 21 899 398 197
p 2 0 19 901 214 192
p 2 0 12 908 194 185
p 2 0 22 898 381 195
p 2 0 27 893 230 200
p 2 0 19 901 212 192
p 2 0 16 904 380 192
p 2 0 9 911 199 184
p 2 0 14 906 200 188
p 2 0 15 905 373 191
p 2 0 16 904 207 189
p 2 0 11 909 193 186
p 2 0 17 903 375 193
p 2 0 8 912 192 185
p 2 0 8 912 186 183
p 2 0 13 907 364 189
p 2 0 13 907 205 188
p 2 0 3 917 182 180
p 2 0 18 902 332 195
p 2 0 888 32 6120 1090
p 2 0 917 3 17103 1434
p 2 3 915 2 17962 1676
p 2 12 900 8 16299 1857
p 2 26 893 1 14866 2061
p 2 37 883 0 14637 2188
p 2 9 911 0 13181 2124
p 2 29 890 1 10740 2015
p 2 32 888 0 12318 2154
