# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2743 2648
p 2 0 2 918 178 178
p 2 0 61 859 218 218
p 2 0 0 920 177 177
p 2 0 30 890 196 196
p 2 0 0 920 177 177
p 2 0 30 890 196 196
p 2 0 0 920 177 177
p 2 0 29 891 195 195
p 2 0 0 920 177 177
p 2 0 17 903 188 188
p 2 0 0 920 177 177
p 2 0 17 903 188 188
p 2 0 0 920 177 177
p 2 0 17 903 188 188
p 2 0 0 920 177 177
p 2 0 17 903 188 188
p 2 0 0 920 177 177
p 2 0 17 903 188 188
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 73 847 428 257
p 2 0 122 798 658 308
p 2 0 97 823 854 296
p 2 0 102 818 1235 318
p 2 0 99 821 1380 306
p 2 0 99 821 1786 312
p 2 0 102 818 1851 315
p 2 0 98 822 2066 319
p 2 0 101 819 2201 315
p 2 0 101 819 2182 320
p 2 0 104 816 2537 320
p 2 0 103 817 2474 320
p 2 0 103 817 2618 315
p 2 0 104 816 2841 320
p 2 0 104 816 2882 317
p 2 0 104 816 2603 324
p 2 0 104 816 2604 318
p 2 0 104 816 2689 323
p 2 0 104 816 2525 318
p 2 0 104 816 2541 321
p 2 0 104 816 1700 316
p 2 0 104 816 1883 316
p 2 0 104 816 1635 313
p 2 0 103 817 1426 311
p 2 0 100 820 821 296
p 2 0 74 846 406 251
p 2 0 42 878 292 215
p 2 0 35 885 234 207
p 2 0 9 911 193 185
p 2 0 17 903 199 192
p 2 0 6 914 188 183
p 2 0 10 910 194 187
p 2 0 4 916 185 181
p 2 0 5 915 186 182
p 2 0 1 919 182 178
p 2 0 2 918 178 178
p 2 0 2 918 182 179
p 2 0 1 919 181 179
p 2 0 1 919 182 178
p 2 0 1 919 181 178
p 2 0 3 917 189 181
p 2 0 2 918 184 179
p 2 0 0 920 177 177
p 2 0 1 919 182 178
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 1 919 179 178
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 1 919 179 179
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 1 919 179 178
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 94 826 745 283
p 2 0 99 821 1294 299
p 2 0 99 821 1558 308
p 2 0 99 821 1703 304
p 2 0 100 820 1785 315
p 2 0 102 818 1857 312
p 2 0 102 818 1924 317
p 2 0 102 818 1960 312
p 2 0 101 819 1964 316
p 2 0 102 818 1970 311
p 2 0 99 821 2030 318
p 2 0 100 820 1997 313
p 2 0 101 819 2051 319
p 2 0 103 817 2048 318
p 2 0 101 819 2075 321
p 2 0 101 819 2020 311
p 2 0 102 818 2077 321
p 2 0 133 787 2004 339
p 2 0 102 818 1929 317
p 2 0 99 821 1813 317
p 2 0 121 799 1784 339
p 2 0 131 789 1496 339
p 2 0 136 784 1254 343
p 2 0 137 783 1091 356
p 2 1 137 782 598 357
