# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2656 2645
p 2 0 102 818 242 241
p 2 0 801 119 690 690
p 2 0 0 920 177 177
p 2 0 47 873 207 207
p 2 0 0 920 177 177
p 2 0 21 899 191 191
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 267 653 915 419
p 2 0 398 522 767 496
p 2 0 434 486 1193 573
p 2 0 487 433 1149 613
p 2 0 558 362 1325 680
p 2 0 602 318 1217 718
p 2 0 546 374 1229 665
p 2 0 631 289 1423 735
p 2 0 577 343 1544 728
p 2 1 747 172 1505 843
p 2 0 473 447 1508 663
p 2 0 798 122 1691 894
p 2 0 545 375 1639 746
p 2 0 768 152 1578 881
p 2 6 525 389 1988 783
p 2 2 790 128 2047 1001
p 2 1 579 340 2085 855
p 2 0 782 138 1949 1002
p 2 2 622 296 2205 920
p 2 0 733 187 1782 952
p 2 1 615 304 2166 906
p 2 0 817 103 2045 1047
p 2 4 656 260 2348 957
p 2 1 795 124 2007 1027
p 2 1 674 245 2370 960
p 2 1 795 124 2247 1049
p 2 2 702 216 2598 1017
p 2 0 808 112 2300 1075
p 2 1 728 191 2351 989
p 2 2 834 84 2619 1100
p 2 2 730 188 2652 1025
p 2 1 823 96 2837 1123
p 2 0 708 212 2726 994
p 2 0 848 72 2887 1148
p 2 1 733 186 2748 1022
p 2 0 848 72 2908 1144
p 2 2 712 206 2960 1025
p 2 1 842 77 3294 1169
p 2 4 787 129 3424 1149
p 2 2 859 59 3440 1197
p 2 2 797 121 3368 1132
p 2 1 859 60 3389 1194
p 2 2 765 153 3453 1099
p 2 0 868 52 3178 1169
p 2 0 784 136 3205 1093
p 2 0 854 66 3210 1161
p 2 0 774 146 3109 1080
p 2 0 870 50 2998 1141
p 2 0 789 131 3519 1112
p 2 0 859 61 3164 1144
p 2 0 773 147 3489 1092
p 2 0 872 48 3255 1139
p 2 0 769 151 3026 1050
p 2 0 889 31 3128 1136
p 2 0 779 141 3152 1042
p 2 0 872 48 3172 1130
p 2 0 782 138 3207 1045
p 2 0 877 43 3233 1136
p 2 0 757 163 2555 990
p 2 0 870 50 2564 1098
p 2 0 744 176 2609 978
p 2 0 848 72 2551 1056
p 2 0 745 175 2527 956
p 2 0 850 70 2548 1052
p 2 0 771 149 2480 985
p 2 0 810 110 2506 1016
p 2 0 720 200 1844 890
p 2 0 774 146 1965 946
p 2 0 690 230 1880 846
p 2 0 761 159 1850 899
p 2 0 624 296 1624 763
p 2 0 759 161 2047 916
p 2 0 781 139 2372 947
p 2 0 824 96 1806 913
p 2 0 634 286 1646 756
p 2 0 755 165 1635 851
p 2 0 539 381 1521 659
p 2 0 692 228 1623 793
p 2 0 518 402 1446 647
p 2 0 655 265 1647 767
p 2 0 457 463 1455 597
p 2 0 567 353 1443 686
p 2 0 447 473 1468 594
p 2 0 576 344 1566 698
p 2 0 422 498 1382 563
p 2 0 465 455 1483 604
p 2 0 405 515 1374 557
p 2 0 438 482 1393 580
p 2 0 367 553 1397 529
p 2 0 488 432 1482 632
p 2 0 430 490 1410 569
p 2 0 482 438 1423 611
p 2 0 389 531 1359 532
p 2 0 433 487 1385 578
p 2 0 404 516 1407 550
p 2 0 469 451 1478 617
p 2 0 438 482 1394 569
p 2 0 482 438 1489 617
p 2 0 514 406 1537 637
p 2 0 436 484 1387 573
p 2 0 420 500 1442 564
p 2 0 457 463 1512 595
p 2 0 391 529 1359 537
p 2 0 369 551 1424 528
p 2 0 425 495 1441 554
p 2 0 363 557 1348 522
p 2 0 391 529 1437 544
p 2 0 413 507 1500 584
p 2 0 386 534 1374 536
p 2 0 385 535 1414 543
p 2 0 391 529 1452 538
p 2 0 407 513 1401 561
p 2 0 428 492 1461 567
p 2 0 528 392 1569 663
p 2 0 412 508 1420 556
p 2 0 414 506 1462 564
p 2 0 357 563 1419 519
p 2 0 376 544 1367 529
p 2 0 421 499 1499 577
p 2 0 456 464 1420 587
p 2 0 352 568 1356 507
p 2 0 470 450 1537 610
p 2 0 379 541 1405 530
i 2 920 0 0 10429 3219
p 2 3 860 57 4222 1322
p 2 0 657 263 1010 800
p 2 0 614 306 796 706
p 2 0 768 152 4160 1219
p 2 0 705 215 1118 857
p 2 0 487 433 680 608
p 2 78 752 90 8911 1809
p 2 0 603 317 1072 826
p 2 0 580 340 792 686
p 2 12 738 170 7432 1296
p 2 0 590 330 1006 729
p 2 0 489 431 759 617
p 2 11 735 174 8005 1382
p 2 0 622 298 1139 780
p 2 13 750 157 8672 1466
p 2 0 638 282 1186 796
p 2 4 756 160 6347 1255
p 2 0 582 338 1122 762
p 2 8 727 185 8183 1330
p 2 0 598 322 1249 774
p 2 0 453 467 770 589
p 2 0 384 536 1245 548
p 2 0 342 578 654 487
p 2 0 284 636 567 431
p 2 0 326 594 1224 495
p 2 0 203 717 486 358
p 2 0 295 625 527 433
p 2 0 142 778 335 296
p 2 0 143 777 362 305
p 2 0 108 812 303 270
p 2 0 145 775 408 308
p 2 0 96 824 302 255
p 2 0 95 825 296 263
p 2 0 80 840 286 247
p 2 0 105 815 334 267
p 2 0 92 828 293 260
p 2 0 101 819 287 258
p 2 0 112 808 307 268
p 2 0 112 808 284 266
p 2 0 41 879 225 209
p 2 0 50 870 242 218
p 2 0 81 839 270 241
p 2 0 80 840 278 245
