# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2679 2646
p 2 611 309 0 4227 2844
p 2 638 282 0 4509 2935
p 2 628 290 2 5228 3004
p 2 625 295 0 6285 3041
p 2 567 353 0 7077 3004
p 2 600 320 0 9015 3129
p 2 561 359 0 10260 3118
p 2 559 361 0 12133 3161
p 2 532 388 0 13549 3164
p 2 486 434 0 14854 3155
p 2 501 419 0 17439 3239
p 2 483 437 0 18346 3227
p 2 490 430 0 21326 3267
p 2 498 422 0 22413 3276
p 2 503 417 0 23570 3288
p 2 480 440 0 22307 3218
p 2 444 476 0 23369 3226
p 2 428 492 0 22926 3194
p 2 403 517 0 24576 3202
p 2 387 533 0 23979 3164
p 2 273 647 0 19390 2916
p 2 233 686 1 18491 2807
p 2 131 788 1 14694 2449
p 2 10 906 4 9024 1780
p 2 48 872 0 17831 2260
p 2 0 715 205 2413 968
p 2 0 586 334 1391 757
p 2 11 581 328 9519 1157
p 2 0 541 379 1372 713
p 2 0 433 487 1100 590
p 2 8 533 379 9098 1061
p 2 0 448 472 1210 616
p 2 0 355 565 828 508
p 2 53 455 412 10538 1289
p 2 0 419 501 1115 598
p 2 0 296 624 684 456
p 2 25 357 538 6115 946
p 2 0 364 556 961 538
p 2 0 272 648 634 430
p 2 21 294 605 2213 651
p 2 0 307 613 748 468
p 2 0 228 692 500 375
p 2 5 220 695 679 437
p 2 0 201 719 449 361
p 2 0 187 733 394 336
p 2 0 208 712 417 349
p 2 0 308 612 746 448
p 2 0 242 678 673 398
p 2 0 158 762 386 310
p 2 0 154 766 374 306
p 2 0 133 787 345 285
p 2 0 133 787 418 294
p 2 0 161 759 386 310
p 2 0 160 760 384 310
p 2 0 132 788 389 291
p 2 0 91 829 335 258
p 2 0 93 827 312 257
p 2 0 128 792 365 279
p 2 0 81 839 280 244
p 2 0 49 871 246 217
p 2 0 60 860 271 229
p 2 0 77 843 292 244
p 2 0 83 837 277 243
p 2 0 85 835 324 250
p 2 0 128 792 360 287
p 2 0 83 837 273 239
p 2 0 98 822 299 254
p 2 0 72 848 277 235
p 2 0 119 801 388 281
p 2 0 69 851 281 232
p 2 0 61 859 287 231
p 2 0 49 871 236 217
p 2 0 29 891 220 201
p 2 0 70 850 273 235
p 2 0 75 845 288 241
p 2 0 69 851 253 230
p 2 0 25 895 211 197
p 2 0 69 851 255 232
p 2 0 33 887 219 203
p 2 0 21 899 205 193
p 2 0 37 883 228 207
p 2 0 50 870 236 219
p 2 0 41 879 227 211
p 2 0 28 892 216 199
p 2 0 41 879 216 211
p 2 0 21 899 198 192
p 2 0 25 895 204 199
p 2 0 27 893 206 199
p 2 0 49 871 225 214
p 2 0 37 883 212 206
i 2 920 0 0 27870 3684
p 2 0 905 15 6877 1147
p 2 1 899 20 7598 1145
p 2 0 895 25 7410 1153
p 2 0 890 30 7973 1131
p 2 0 897 23 7826 1165
p 2 0 887 33 7632 1145
p 2 0 895 25 7636 1169
p 2 0 902 18 7874 1174
p 2 0 908 12 7818 1189
p 2 0 892 28 7948 1161
p 2 0 905 15 8021 1195
p 2 0 890 30 7891 1176
p 2 0 902 18 7833 1190
p 2 0 893 27 8260 1211
p 2 0 907 13 7841 1187
p 2 1 888 31 7617 1173
p 2 0 909 11 8200 1186
p 2 0 895 25 8230 1170
p 2 0 911 9 8180 1190
p 2 1 897 22 8218 1219
p 2 2 911 7 8074 1199
p 2 0 899 21 8017 1189
p 2 0 910 10 8492 1218
p 2 0 892 28 8320 1191
p 2 0 907 13 8027 1189
p 2 0 890 30 8212 1182
p 2 0 901 19 8333 1194
p 2 0 892 28 8367 1186
p 2 1 908 11 8507 1223
p 2 0 894 26 8501 1221
p 2 0 894 26 8560 1197
p 2 0 897 23 8543 1197
p 2 0 911 9 8719 1195
p 2 25 876 19 8666 1257
p 2 0 910 10 8468 1195
p 2 0 901 19 8681 1192
p 2 0 895 25 8792 1196
p 2 0 885 35 8604 1185
p 2 3 899 18 10017 1236
p 2 6 884 30 8585 1233
p 2 0 909 11 7798 1190
p 2 1 890 29 8099 1149
p 2 0 902 18 8109 1174
p 2 0 892 28 8125 1177
p 2 0 892 28 8439 1183
p 2 0 890 30 8084 1168
p 2 0 892 28 8162 1173
p 2 0 871 49 8085 1166
p 2 0 898 22 8313 1167
p 2 5 884 31 8473 1199
p 2 7 897 16 8347 1228
p 2 5 886 29 8481 1205
p 2 2 899 19 8466 1203
p 2 1 894 25 8143 1185
p 2 1 903 16 7837 1182
p 2 0 898 22 7876 1173
p 2 3 895 22 8015 1191
p 2 1 889 30 7979 1184
p 2 0 894 26 7699 1167
p 2 0 905 15 7784 1180
p 2 0 900 20 7927 1168
p 2 1 901 18 8013 1184
p 2 0 909 11 7895 1181
p 2 0 903 17 7866 1192
p 2 0 896 24 7737 1173
p 2 0 903 17 7919 1171
p 2 1 906 13 7899 1173
p 2 0 907 13 7799 1179
p 2 0 910 10 7907 1189
p 2 0 899 21 7900 1188
p 2 0 891 29 7681 1172
p 2 0 906 14 7808 1167
p 2 0 901 19 7710 1158
p 2 0 890 30 7712 1137
p 2 0 900 20 7671 1172
p 2 0 906 14 7392 1158
p 2 0 889 31 7431 1173
p 2 0 887 33 7774 1169
p 2 0 894 26 7672 1168
p 2 0 886 34 7307 1139
p 2 0 893 27 7423 1154
p 2 0 893 27 7322 1151
p 2 0 880 40 7516 1171
p 2 0 902 18 7196 1164
p 2 0 910 10 7505 1166
p 2 0 883 37 7755 1139
p 2 0 888 32 7518 1153
p 2 0 903 17 7610 1171
p 2 0 888 32 7648 1185
p 2 0 894 26 7490 1175
p 2 0 897 23 7649 1179
p 2 0 902 18 7447 1181
p 2 0 902 18 7633 1168
p 2 0 880 40 7521 1145
p 2 0 887 33 7360 1156
p 2 0 895 25 7218 1149
p 2 0 883 37 7523 1151
p 2 0 899 21 7403 1151
p 2 1 893 26 7261 1164
p 2 0 893 27 7336 1154
p 2 0 902 18 7406 1156
p 2 0 891 29 7436 1154
p 2 1 876 43 7430 1147
p 2 0 893 27 7437 1160
p 2 1 876 43 7713 1162
p 2 0 873 47 7395 1132
p 2 6 873 41 7535 1178
i 2 920 0 0 34924 3938
p 2 0 308 612 575 464
p 2 0 227 693 435 383
p 2 0 138 782 331 297
p 2 0 113 807 334 284
p 2 0 87 833 288 254
p 2 0 74 846 283 246
p 2 0 115 805 338 279
p 2 0 61 859 289 235
p 2 0 68 852 300 240
p 2 0 79 841 304 248
p 2 0 70 850 303 239
p 2 0 77 843 710 251
p 2 0 67 853 339 238
p 2 0 64 856 296 236
p 2 0 72 848 559 246
p 2 0 65 855 283 235
p 2 0 70 850 302 237
p 2 0 75 845 569 248
p 2 0 83 837 342 255
p 2 0 35 885 243 208
p 2 0 58 862 546 231
p 2 0 52 868 269 221
p 2 0 39 881 236 210
p 2 0 61 859 599 234
p 2 0 68 852 312 239
p 2 0 68 852 287 235
p 2 0 46 874 628 225
p 2 0 53 867 299 227
p 2 0 41 879 249 211
p 2 0 69 851 563 243
p 2 0 96 824 337 263
p 2 0 39 881 255 213
p 2 0 60 860 602 236
p 2 0 60 860 295 232
p 2 0 42 878 244 212
p 2 0 44 876 259 216
p 2 0 68 852 286 236
p 2 0 30 890 243 205
p 2 0 40 880 248 212
p 2 0 60 860 274 229
p 2 0 47 873 260 217
p 2 0 87 833 635 262
p 2 0 111 809 337 276
p 2 0 54 866 254 220
p 2 0 101 819 631 270
p 2 0 57 863 293 228
p 2 0 46 874 249 220
p 2 0 46 874 512 220
p 2 0 64 856 274 230
p 2 0 44 876 262 215
p 2 0 36 884 511 213
p 2 0 42 878 263 214
p 2 0 36 884 253 211
p 2 0 46 874 515 222
p 2 0 59 861 296 230
p 2 0 37 883 251 209
p 2 0 34 886 560 209
p 2 0 49 871 281 221
p 2 0 40 880 250 212
p 2 0 22 898 587 201
p 2 0 46 874 272 219
p 2 0 40 880 254 210
p 2 0 40 880 537 217
p 2 0 42 878 289 216
p 2 0 47 873 278 219
p 2 0 38 882 539 215
p 2 0 46 874 278 221
p 2 0 24 896 237 199
p 2 0 32 888 494 209
p 2 0 20 900 245 196
p 2 0 19 901 230 195
