# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2692 2645
p 2 233 684 3 5041 2136
p 2 285 634 1 7867 2488
p 2 227 693 0 12122 2646
p 2 226 694 0 16966 2728
p 2 181 739 0 21075 2693
p 2 164 756 0 26198 2716
p 2 157 763 0 31554 2760
p 2 129 791 0 35248 2667
p 2 84 836 0 35466 2494
p 2 56 864 0 38158 2417
p 2 22 898 0 33258 2200
p 2 10 910 0 32554 2006
p 2 2 918 0 23775 1682
p 2 1 917 2 20439 1507
p 2 0 919 1 19926 1459
p 2 0 919 1 19956 1480
p 2 0 918 2 20343 1471
p 2 0 920 0 20060 1474
p 2 0 919 1 20551 1484
p 2 0 920 0 20882 1489
p 2 0 918 2 20407 1468
p 2 0 920 0 20252 1494
p 2 0 919 1 20593 1477
p 2 0 919 1 20574 1480
p 2 0 920 0 20506 1470
p 2 0 918 2 20192 1457
p 2 0 917 3 20460 1464
p 2 0 918 2 20999 1478
p 2 0 919 1 21065 1484
p 2 0 920 0 20812 1464
p 2 0 916 4 20784 1466
p 2 0 920 0 20711 1465
p 2 0 919 1 20599 1474
p 2 0 918 2 20981 1457
p 2 0 919 1 20932 1484
p 2 0 916 4 20686 1471
p 2 0 918 2 20614 1460
p 2 0 920 0 21159 1468
p 2 0 918 2 20814 1478
p 2 0 919 1 21264 1491
p 2 0 917 3 21266 1505
p 2 1 916 3 20934 1478
p 2 0 919 1 20827 1470
p 2 0 919 1 20972 1481
p 2 0 920 0 20767 1470
p 2 3 916 1 21236 1497
p 2 12 908 0 21552 1546
p 2 0 918 2 21281 1474
p 2 0 920 0 21063 1465
p 2 0 920 0 21212 1478
p 2 0 920 0 20967 1463
p 2 0 920 0 21383 1464
p 2 0 920 0 21158 1497
p 2 0 920 0 20728 1461
p 2 0 920 0 20726 1451
p 2 0 919 1 20726 1445
p 2 0 918 2 20675 1451
p 2 0 920 0 20996 1463
p 2 0 920 0 21015 1492
p 2 0 920 0 20787 1459
p 2 0 920 0 20974 1484
p 2 0 918 2 20683 1464
p 2 0 919 1 20966 1478
p 2 0 919 1 20564 1477
p 2 0 916 4 20380 1443
p 2 0 919 1 20267 1446
p 2 0 918 2 20394 1443
p 2 0 918 2 20001 1451
p 2 0 918 2 19983 1452
p 2 0 917 3 20016 1433
p 2 0 920 0 19792 1445
p 2 0 916 4 19751 1436
p 2 0 919 1 20011 1450
p 2 0 916 4 19886 1438
p 2 0 919 1 19931 1444
p 2 1 914 5 19881 1449
p 2 0 918 2 19692 1425
p 2 0 914 6 19159 1431
p 2 0 919 1 19489 1446
p 2 0 914 6 19132 1433
p 2 0 920 0 19529 1439
p 2 0 913 7 19647 1433
p 2 0 918 2 19640 1453
p 2 0 917 3 19334 1453
p 2 0 917 3 19851 1443
p 2 0 914 6 19403 1439
p 2 0 915 5 19261 1430
p 2 0 901 19 18968 1425
p 2 0 911 9 18843 1413
p 2 0 916 4 18440 1397
p 2 0 916 4 18690 1418
p 2 0 918 2 18569 1396
p 2 0 910 10 18522 1393
p 2 0 916 4 18212 1391
p 2 0 907 13 18371 1395
p 2 0 917 3 18368 1394
p 2 0 905 15 18507 1408
p 2 0 915 5 18189 1387
p 2 0 917 3 18104 1384
p 2 0 915 5 17906 1379
